id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,name,alias1,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_type,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,partOf_reference_type,partOf_reference_id,,
koolanooka-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373206,XX,,ABN,http://hl7.org.au/id/abn,81196923733,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Koolanooka Radiology,,phone,0855500650,work,email,info@koolanookaradiology.example.net,,,142 Walden Gdns,Koolanooka,WA,6623,,,,,,
kununurra-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039261,XX,,ABN,http://hl7.org.au/id/abn,81159292377,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Kununurra Pathology,,phone,0855502812,work,email,reception@kununurrapathology.example.com.au,,,181 Adelaide Ave,Kununurra,WA,6743,,,,,,
mcbeath-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707040,XX,,ABN,http://hl7.org.au/id/abn,81144602801,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Mcbeath Pharmacy,,phone,0855508220,work,email,reception@mcbeathpharmacy.example.net,,,142 George Esp,Mcbeath,WA,6770,,,,,,
lake-wells-medical-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373439,XX,,ABN,http://hl7.org.au/id/abn,81166182778,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Lake Wells Medical Practice,,phone,0855501208,work,email,info@lakewellsmp.example.com.au,,,142 Warrego St,Lake Wells,WA,6440,,,,,,
quinninup-medical-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040532,XX,,ABN,http://hl7.org.au/id/abn,81191869868,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,788007007,General practice service,General practice medical clinic service,Quinninup Medical Clinic,,phone,0855504049,work,email,info@quinninupmc.example.net,,,24 Grande Pl,Quinninup,WA,6258,,,,,,
piesseville-gastroenterology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040540,XX,,ABN,http://hl7.org.au/id/abn,81122084211,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Gastroenterology & Hepatology Services,Piesseville Gastroenterology,,phone,0855509743,work,email,reception@piessevillegastroenterology.example.com.au,,,92 Shall Est,Piesseville,WA,6315,,,,,,
balbarrup-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040557,XX,,ABN,http://hl7.org.au/id/abn,81183012719,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,413294000,Community health services,Community Health Care,Balbarrup Practice,,phone,0855508969,work,email,reception@balbarruppractice.example.net,,,142 Western Way,Balbarrup,WA,6258,,,,,,
east-point-renal-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707065,XX,,ABN,http://hl7.org.au/id/abn,81194520231,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8512,Specialist Medical Services,http://snomed.info/sct,310138009,"	Surgical service",Specialist medical clinic service,East Point Renal Clinic,,phone,0855501588,work,email,reception@eastpointrenalclinic.example.com.au,,,142 Glider Rdge,East Point,NT,0820,,,,,,
pine-creek-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706126,XX,,ABN,http://hl7.org.au/id/abn,81113031743,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Pine Creek Public Hospital,,phone,0855505942,work,email,reception@pinecreekph.example.net,,,179 Hume Cct,Pine Creek,NT,0847,,,,,,
beswick-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373230,XX,,ABN,http://hl7.org.au/id/abn,81157973977,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Beswick Private Hospital,,phone,0855507024,work,email,info@beswickph.example.com.au,,,23 Forrest Gr,Beswick,NT,0852,,,,,,
kaltukatjara-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373248,XX,,ABN,http://hl7.org.au/id/abn,81158760677,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Kaltukatjara Radiology,,phone,0855500544,work,email,info@kaltukatjararadiology.example.net,,,123 Greenwood Jnc,Kaltukatjara,NT,0872,,,,,,
bayview-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707073,XX,,ABN,http://hl7.org.au/id/abn,81156229675,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Bayview Pathology,,phone,0855509259,work,email,reception@bayviewpathology.example.com.au,,,19 Museum Jnc,Bayview,NT,0820,,,,,,
ludmilla-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373462,XX,,ABN,http://hl7.org.au/id/abn,81116048328,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Ludmilla Pharmacy,,phone,0855508851,work,email,reception@ludmillapharmacy.example.net,,,62 John Hts,Ludmilla,NT,0820,,,,,,
alice-springs-medical-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039287,XX,,ABN,http://hl7.org.au/id/abn,81164929485,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Alice Springs Medical Practice,,phone,0855500508,work,email,info@alicespringsmp.example.com.au,,,148 Glider Esp,Alice Springs,NT,0872,,,,,,
cullen-bay-medical-clinic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039295,XX,,ABN,http://hl7.org.au/id/abn,81131695506,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,788007007,General practice service,General practice medical clinic service,Cullen Bay Medical Clinic,,phone,0855505630,work,email,info@cullenbay.example.net,,,91 Law Ct,Cullen Bay,NT,0820,,,,,,
annie-river-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706142,XX,,ABN,http://hl7.org.au/id/abn,81185486752,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,413294000,Community health services,Community Health Care,Annie River Practice,,phone,0855508858,work,email,reception@annieriverpractice.example.com.au,,,63 Forrest Rdge,Annie River,NT,0822,,,,,,
leasingham-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040581,XX,,ABN,http://hl7.org.au/id/abn,81114320302,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Leasingham Public Hospital,,phone,0855503755,work,email,info@leasinghamph.example.net,,,142 Verdanna Way,Leasingham,SA,5452,,,,,,
yunta-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373488,XX,,ABN,http://hl7.org.au/id/abn,81184412501,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Yunta Private Hospital,,phone,0855504159,work,email,reception@yuntaph.example.com.au,,,14 Shall Pl,Yunta,SA,5440,,,,,,
cape-jaffa-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373263,XX,,ABN,http://hl7.org.au/id/abn,81147619386,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Cape Jaffa Radiology,,phone,0855503549,work,email,reception@capejaffaradiology.example.net,,,91 Toby Esp,Cape Jaffa,SA,5275,,,,,,
back-valley-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373271,XX,,ABN,http://hl7.org.au/id/abn,81198765695,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Back Valley Radiology,,phone,0855506346,work,email,info@backvalleyradiology.example.com.au,,,179 Delaware Hts,Back Valley,SA,5211,,,,,,
woodcroft-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003621566706159,XX,,ABN,http://hl7.org.au/id/abn,81178458001,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Woodcroft Pathology,,phone,0855503641,work,email,info@woodcroftpathology.example.net,,,104 Gottfried Esp,Woodcroft,SA,5162,,,,,,
wingfield-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373504,XX,,ABN,http://hl7.org.au/id/abn,81168168516,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Wingfield Pathology,,phone,0855505676,work,email,reception@wingfieldpathology.example.com.au,,,5 Queen Ct,Wingfield,SA,5013,,,,,,
edwardstown-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373512,XX,,ABN,http://hl7.org.au/id/abn,81168062718,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Edwardstown Pharmacy,,phone,0855505310,work,email,reception@edwardstownpharmacy.example.net,,,128 Loftus Qy,Edwardstown,SA,5039,,,,,,
beltana-medical-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039329,XX,,ABN,http://hl7.org.au/id/abn,81138480110,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Beltana Medical Practice,,phone,0855503041,work,email,info@beltanamp.example.com.au,,,181 State Rvr,Beltana,SA,5730,,,,,,
karkoo-chiropractic,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003626566707123,XX,,ABN,http://hl7.org.au/id/abn,81177709280,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8534,Chiropractic and Osteopathic Services,http://snomed.info/sct,722170006,Chiropractic service,Chiropractic,Karkoo Chiropractic,,phone,0855507557,work,email,info@karkoochiropractic.example.net,,,54 Toby Rvr,Karkoo,SA,5607,,,,,,
rosetta-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373520,XX,,ABN,http://hl7.org.au/id/abn,81172416692,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Rosetta Public Hospital,,phone,0355507448,work,email,info@rosettaph.example.net,,,142 Tarpeian Tce,Rosetta,TAS,7010,,,,,,
robigana-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373289,XX,,ABN,http://hl7.org.au/id/abn,81129666365,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Robigana Private Hospital,,phone,0355502908,work,email,reception@robiganaph.example.com.au,,,147 Zorro Cr,Robigana,TAS,7275,,,,,,
blumont-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040615,XX,,ABN,http://hl7.org.au/id/abn,81156517227,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Blumont Radiology,,phone,0355507694,work,email,reception@blumontradiology.example.net,,,118 Woodstock Jnc,Blumont,TAS,7260,,,,,,
verona-sands-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039352,XX,,ABN,http://hl7.org.au/id/abn,81134609007,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Verona Sands Pathology,,phone,0355506133,work,email,info@veronasandspathology.example.com.au,,,108 Arthur Jnc,Verona Sands,TAS,7112,,,,,,
launceston-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039360,XX,,ABN,http://hl7.org.au/id/abn,81157965839,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Launceston Pharmacy,,phone,0355504846,work,email,info@launcestonpharmacy.example.net,,,156 Victoria Gdns,Launceston,TAS,7250,,,,,,
southport-medical-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039386,XX,,ABN,http://hl7.org.au/id/abn,81183555270,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Southport Medical Practice,,phone,0355508152,work,email,reception@southportmp.example.com.au,,,133 Glider Qy,Southport,TAS,7109,,,,,,
oxley-public-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040631,XX,,ABN,http://hl7.org.au/id/abn,81171551323,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Public acute care Hospital,Oxley Public Hospital,,phone,0255509324,work,email,info@oxleyph.example.com.au,,,142 Long Tce,Oxley,ACT,2903,,,,,,
monash-private-hospital,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039394,XX,,ABN,http://hl7.org.au/id/abn,81119127306,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8401,Hospitals (except Psychiatric Hospitals),http://snomed.info/sct,2421000175108,Acute care inpatient service,Private acute care Hospital,Monash Private Hospital,,phone,0255504798,work,email,info@monashph.example.net,,,44 Western Gr,Monash,ACT,2904,,,,,,
nicholls-radiology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003628233373305,XX,,ABN,http://hl7.org.au/id/abn,81121514532,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,708175003,Diagnostic imaging service,Diagnostic Radiology,Nicholls Radiology,,phone,0255501723,work,email,reception@nichollsradiology.example.com.au,,,65 Law Rd,Nicholls,ACT,2913,,,,,,
calwell-pathology,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003624900039402,XX,,ABN,http://hl7.org.au/id/abn,81135995225,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8520,Pathology and Diagnostic Imaging Services,http://snomed.info/sct,310074003,"	Pathology service",Pathology laboratory service,Calwell Pathology,,phone,0255509086,work,email,reception@calwellpathology.example.net,,,49 Elenore Pl,Calwell,ACT,2905,,,,,,
ginninderra-pharmacy,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003623233373546,XX,,ABN,http://hl7.org.au/id/abn,81131242476,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,4271,Retail Pharmacy,http://snomed.info/sct,310080006,Pharmacy service,"Pharmacy, retail, operation",Ginninderra Pharmacy,,phone,0255508363,work,email,info@ginninderrapharmacy.example.com.au,,,71 Pheonix Way,Ginninderra Village,ACT,2913,,,,,,
ngunnawal-medical-practice,,NOI,,HPI-O,http://ns.electronichealth.net.au/id/hi/hpio/1.0,8003629900040649,XX,,ABN,http://hl7.org.au/id/abn,81135317036,,http://www.abs.gov.au/ausstats/abs@.nsf/mf/1292.0,8511,General Practice,http://snomed.info/sct,700232004,General medical service,General medical practitioner service,Ngunnawal Medical Practice,,phone,0255500515,work,email,info@ngunnawalmp.example.net,,,56 High Rd,Ngunnawal,ACT,2913,,,,,,
